AF_CMP_factor01,AF_CMP_factor02,AF_CMP_factor03,AF_CMP_factor04,AF_CMP_factor05,AF_CMP_factor06,consecutive
002434.SZ,万里扬,浙江万里扬股份有限公司,2010-06-18 00:00:00,,可选消费,0
002435.SZ,长江健康,长江润发健康产业股份有限公司,2010-06-18 00:00:00,,医疗保健,0
002436.SZ,兴森科技,深圳市兴森快捷电路科技股份有限公司,2010-06-18 00:00:00,,信息技术,0
002437.SZ,誉衡药业,哈尔滨誉衡药业股份有限公司,2010-06-23 00:00:00,,医疗保健,0
002438.SZ,江苏神通,江苏神通阀门股份有限公司,2010-06-23 00:00:00,,工业,0
002439.SZ,启明星辰,启明星辰信息技术集团股份有限公司,2010-06-23 00:00:00,,信息技术,0
002440.SZ,闰土股份,浙江闰土股份有限公司,2010-07-06 00:00:00,,材料,0
002441.SZ,众业达,众业达电气股份有限公司,2010-07-06 00:00:00,,工业,0
002442.SZ,龙星化工,龙星化工股份有限公司,2010-07-06 00:00:00,,材料,0
002443.SZ,金洲管道,浙江金洲管道科技股份有限公司,2010-07-06 00:00:00,,材料,0
002444.SZ,巨星科技,杭州巨星科技股份有限公司,2010-07-13 00:00:00,,工业,0
002445.SZ,中南文化,中南红文化集团股份有限公司,2010-07-13 00:00:00,,可选消费,0
002446.SZ,盛路通信,广东盛路通信科技股份有限公司,2010-07-13 00:00:00,,信息技术,0
002448.SZ,中原内配,中原内配集团股份有限公司,2010-07-16 00:00:00,,可选消费,0
002449.SZ,国星光电,佛山市国星光电股份有限公司,2010-07-16 00:00:00,,信息技术,0
002451.SZ,摩恩电气,上海摩恩电气股份有限公司,2010-07-20 00:00:00,,工业,0
002452.SZ,长高电新,长高电新科技股份公司,2010-07-20 00:00:00,,工业,0
002453.SZ,华软科技,金陵华软科技股份有限公司,2010-07-20 00:00:00,,信息技术,0
002454.SZ,松芝股份,上海加冷松芝汽车空调股份有限公司,2010-07-20 00:00:00,,可选消费,0
002455.SZ,百川股份,江苏百川高科新材料股份有限公司,2010-08-03 00:00:00,,材料,0
002456.SZ,欧菲光,欧菲光集团股份有限公司,2010-08-03 00:00:00,,信息技术,0
002457.SZ,青龙管业,宁夏青龙管业集团股份有限公司,2010-08-03 00:00:00,,工业,0
002458.SZ,益生股份,山东益生种畜禽股份有限公司,2010-08-10 00:00:00,,日常消费,0
002459.SZ,晶澳科技,晶澳太阳能科技股份有限公司,2010-08-10 00:00:00,,信息技术,0
002460.SZ,赣锋锂业,江西赣锋锂业股份有限公司,2010-08-10 00:00:00,,材料,0
002461.SZ,珠江啤酒,广州珠江啤酒股份有限公司,2010-08-18 00:00:00,,日常消费,0
002462.SZ,嘉事堂,嘉事堂药业股份有限公司,2010-08-18 00:00:00,,医疗保健,0
002463.SZ,沪电股份,沪士电子股份有限公司,2010-08-18 00:00:00,,信息技术,0
002465.SZ,海格通信,广州海格通信集团股份有限公司,2010-08-31 00:00:00,,信息技术,0
002466.SZ,天齐锂业,天齐锂业股份有限公司,2010-08-31 00:00:00,,材料,0
002467.SZ,二六三,二六三网络通信股份有限公司,2010-09-08 00:00:00,,电信服务,0
002468.SZ,申通快递,申通快递股份有限公司,2010-09-08 00:00:00,,工业,0
002469.SZ,三维化学,山东三维化学集团股份有限公司,2010-09-08 00:00:00,,工业,0
002470.SZ,ST金正,金正大生态工程集团股份有限公司,2010-09-08 00:00:00,,材料,0
002471.SZ,中超控股,江苏中超控股股份有限公司,2010-09-10 00:00:00,,工业,0
002472.SZ,双环传动,浙江双环传动机械股份有限公司,2010-09-10 00:00:00,,工业,0
002474.SZ,榕基软件,福建榕基软件股份有限公司,2010-09-15 00:00:00,,信息技术,0
002475.SZ,立讯精密,立讯精密工业股份有限公司,2010-09-15 00:00:00,,信息技术,0
002476.SZ,宝莫股份,山东宝莫生物化工股份有限公司,2010-09-15 00:00:00,,材料,0
002478.SZ,常宝股份,江苏常宝钢管股份有限公司,2010-09-21 00:00:00,,材料,0
002479.SZ,富春环保,浙江富春江环保热电股份有限公司,2010-09-21 00:00:00,,公用事业,0
002480.SZ,新筑股份,成都市新筑路桥机械股份有限公司,2010-09-21 00:00:00,,工业,0
002481.SZ,双塔食品,烟台双塔食品股份有限公司,2010-09-21 00:00:00,,日常消费,0
002482.SZ,ST广田,深圳广田集团股份有限公司,2010-09-29 00:00:00,,工业,0
002483.SZ,润邦股份,江苏润邦重工股份有限公司,2010-09-29 00:00:00,,工业,0
002484.SZ,江海股份,南通江海电容器股份有限公司,2010-09-29 00:00:00,,信息技术,0
002485.SZ,*ST雪发,雪松发展股份有限公司,2010-10-15 00:00:00,,工业,0
002486.SZ,嘉麟杰,上海嘉麟杰纺织品股份有限公司,2010-10-15 00:00:00,,可选消费,0
002487.SZ,大金重工,大金重工股份有限公司,2010-10-15 00:00:00,,工业,0
002488.SZ,金固股份,浙江金固股份有限公司,2010-10-21 00:00:00,,可选消费,0
002489.SZ,浙江永强,浙江永强集团股份有限公司,2010-10-21 00:00:00,,可选消费,0
002490.SZ,山东墨龙,山东墨龙石油机械股份有限公司,2010-10-21 00:00:00,,能源,0
002491.SZ,通鼎互联,通鼎互联信息股份有限公司,2010-10-21 00:00:00,,信息技术,0
002492.SZ,恒基达鑫,珠海恒基达鑫国际化工仓储股份有限公司,2010-11-02 00:00:00,,工业,0
002493.SZ,荣盛石化,荣盛石化股份有限公司,2010-11-02 00:00:00,,材料,0
002494.SZ,华斯股份,华斯控股股份有限公司,2010-11-02 00:00:00,,可选消费,0
002495.SZ,佳隆股份,广东佳隆食品股份有限公司,2010-11-02 00:00:00,,日常消费,0
002496.SZ,辉丰股份,江苏辉丰生物农业股份有限公司,2010-11-09 00:00:00,,材料,0
002497.SZ,雅化集团,四川雅化实业集团股份有限公司,2010-11-09 00:00:00,,材料,0
002498.SZ,汉缆股份,青岛汉缆股份有限公司,2010-11-09 00:00:00,,工业,0
002499.SZ,*ST科林,科林环保装备股份有限公司,2010-11-09 00:00:00,,公用事业,0
002500.SZ,山西证券,山西证券股份有限公司,2010-11-15 00:00:00,,金融,0
002501.SZ,利源精制,吉林利源精制股份有限公司,2010-11-17 00:00:00,,材料,0
002502.SZ,鼎龙文化,鼎龙文化股份有限公司,2010-11-17 00:00:00,,工业,0
002503.SZ,搜于特,搜于特集团股份有限公司,2010-11-17 00:00:00,,可选消费,0
002504.SZ,ST弘高,北京弘高创意建筑设计股份有限公司,2010-11-18 00:00:00,,工业,0
002505.SZ,鹏都农牧,鹏都农牧股份有限公司,2010-11-18 00:00:00,,日常消费,0
002506.SZ,协鑫集成,协鑫集成科技股份有限公司,2010-11-18 00:00:00,,信息技术,0
002507.SZ,涪陵榨菜,重庆市涪陵榨菜集团股份有限公司,2010-11-23 00:00:00,,日常消费,0
002508.SZ,老板电器,杭州老板电器股份有限公司,2010-11-23 00:00:00,,可选消费,0
002510.SZ,天汽模,天津汽车模具股份有限公司,2010-11-25 00:00:00,,可选消费,0
002511.SZ,中顺洁柔,中顺洁柔纸业股份有限公司,2010-11-25 00:00:00,,日常消费,0
002512.SZ,达华智能,福州达华智能科技股份有限公司,2010-12-03 00:00:00,,可选消费,0
002513.SZ,蓝丰生化,江苏蓝丰生物化工股份有限公司,2010-12-03 00:00:00,,材料,0
002514.SZ,宝馨科技,江苏宝馨科技股份有限公司,2010-12-03 00:00:00,,工业,0
002515.SZ,金字火腿,金字火腿股份有限公司,2010-12-03 00:00:00,,日常消费,0
002516.SZ,旷达科技,旷达科技集团股份有限公司,2010-12-07 00:00:00,,可选消费,0
002517.SZ,恺英网络,恺英网络股份有限公司,2010-12-07 00:00:00,,信息技术,0
002518.SZ,科士达,深圳科士达科技股份有限公司,2010-12-07 00:00:00,,工业,0
002519.SZ,银河电子,江苏银河电子股份有限公司,2010-12-07 00:00:00,,可选消费,0
002520.SZ,日发精机,浙江日发精密机械股份有限公司,2010-12-10 00:00:00,,工业,0
002521.SZ,齐峰新材,齐峰新材料股份有限公司,2010-12-10 00:00:00,,材料,0
002522.SZ,浙江众成,浙江众成包装材料股份有限公司,2010-12-10 00:00:00,,材料,0
002523.SZ,天桥起重,株洲天桥起重机股份有限公司,2010-12-10 00:00:00,,工业,0
002524.SZ,光正眼科,光正眼科医院集团股份有限公司,2010-12-17 00:00:00,,医疗保健,0
002526.SZ,山东矿机,山东矿机集团股份有限公司,2010-12-17 00:00:00,,工业,0
002527.SZ,新时达,上海新时达电气股份有限公司,2010-12-24 00:00:00,,工业,0
002528.SZ,英飞拓,深圳英飞拓科技股份有限公司,2010-12-24 00:00:00,,信息技术,0
002529.SZ,海源复材,江西海源复合材料科技股份有限公司,2010-12-24 00:00:00,,材料,0
002530.SZ,金财互联,金财互联控股股份有限公司,2010-12-31 00:00:00,,信息技术,0
002531.SZ,天顺风能,天顺风能(苏州)股份有限公司,2010-12-31 00:00:00,,工业,0
002532.SZ,天山铝业,天山铝业集团股份有限公司,2010-12-31 00:00:00,,材料,0
002533.SZ,金杯电工,金杯电工股份有限公司,2010-12-31 00:00:00,,工业,0
002534.SZ,西子洁能,西子清洁能源装备制造股份有限公司,2011-01-10 00:00:00,,工业,0
002535.SZ,ST林重,林州重机集团股份有限公司,2011-01-11 00:00:00,,工业,0
002536.SZ,飞龙股份,飞龙汽车部件股份有限公司,2011-01-11 00:00:00,,可选消费,0
002537.SZ,海联金汇,海联金汇科技股份有限公司,2011-01-10 00:00:00,,可选消费,0
002538.SZ,司尔特,安徽省司尔特肥业股份有限公司,2011-01-18 00:00:00,,材料,0
002539.SZ,云图控股,成都云图控股股份有限公司,2011-01-18 00:00:00,,材料,0
002540.SZ,亚太科技,江苏亚太轻合金科技股份有限公司,2011-01-18 00:00:00,,材料,0
002541.SZ,鸿路钢构,安徽鸿路钢结构(集团)股份有限公司,2011-01-18 00:00:00,,工业,0
002542.SZ,中化岩土,中化岩土集团股份有限公司,2011-01-28 00:00:00,,工业,0
002543.SZ,万和电气,广东万和新电气股份有限公司,2011-01-28 00:00:00,,可选消费,0
002544.SZ,普天科技,中电科普天科技股份有限公司,2011-01-28 00:00:00,,信息技术,0
002545.SZ,东方铁塔,青岛东方铁塔股份有限公司,2011-02-11 00:00:00,,工业,0
002546.SZ,新联电子,南京新联电子股份有限公司,2011-02-11 00:00:00,,工业,0
002547.SZ,春兴精工,苏州春兴精工股份有限公司,2011-02-18 00:00:00,,工业,0
002548.SZ,金新农,深圳市金新农科技股份有限公司,2011-02-18 00:00:00,,日常消费,0
002549.SZ,凯美特气,湖南凯美特气体股份有限公司,2011-02-18 00:00:00,,材料,0
002550.SZ,千红制药,常州千红生化制药股份有限公司,2011-02-18 00:00:00,,医疗保健,0
002551.SZ,尚荣医疗,深圳市尚荣医疗股份有限公司,2011-02-25 00:00:00,,医疗保健,0
002552.SZ,宝鼎科技,宝鼎科技股份有限公司,2011-02-25 00:00:00,,工业,0
002553.SZ,南方精工,江苏南方精工股份有限公司,2011-02-25 00:00:00,,可选消费,0
002554.SZ,惠博普,华油惠博普科技股份有限公司,2011-02-25 00:00:00,,能源,0
002555.SZ,三七互娱,三七互娱网络科技集团股份有限公司,2011-03-02 00:00:00,,信息技术,0
002556.SZ,辉隆股份,安徽辉隆农资集团股份有限公司,2011-03-02 00:00:00,,材料,0
002557.SZ,洽洽食品,洽洽食品股份有限公司,2011-03-02 00:00:00,,日常消费,0
002558.SZ,巨人网络,巨人网络集团股份有限公司,2011-03-02 00:00:00,,信息技术,0
002559.SZ,亚威股份,江苏亚威机床股份有限公司,2011-03-03 00:00:00,,工业,0
002560.SZ,通达股份,河南通达电缆股份有限公司,2011-03-03 00:00:00,,工业,0
002561.SZ,徐家汇,上海徐家汇商城股份有限公司,2011-03-03 00:00:00,,可选消费,0
002562.SZ,兄弟科技,兄弟科技股份有限公司,2011-03-10 00:00:00,,医疗保健,0
002563.SZ,森马服饰,浙江森马服饰股份有限公司,2011-03-11 00:00:00,,可选消费,0
002564.SZ,天沃科技,苏州天沃科技股份有限公司,2011-03-10 00:00:00,,工业,0
002565.SZ,顺灏股份,上海顺灏新材料科技股份有限公司,2011-03-18 00:00:00,,材料,0
002566.SZ,益盛药业,吉林省集安益盛药业股份有限公司,2011-03-18 00:00:00,,医疗保健,0
002567.SZ,唐人神,唐人神集团股份有限公司,2011-03-25 00:00:00,,日常消费,0
002568.SZ,百润股份,上海百润投资控股集团股份有限公司,2011-03-25 00:00:00,,日常消费,0
002569.SZ,ST步森,浙江步森服饰股份有限公司,2011-04-12 00:00:00,,可选消费,0
002570.SZ,贝因美,贝因美股份有限公司,2011-04-12 00:00:00,,日常消费,0
002571.SZ,德力股份,安徽德力日用玻璃股份有限公司,2011-04-12 00:00:00,,可选消费,0
002572.SZ,索菲亚,索菲亚家居股份有限公司,2011-04-12 00:00:00,,可选消费,0
002573.SZ,清新环境,北京清新环境技术股份有限公司,2011-04-22 00:00:00,,工业,0
002574.SZ,明牌珠宝,浙江明牌珠宝股份有限公司,2011-04-22 00:00:00,,可选消费,0
002575.SZ,群兴玩具,广东群兴玩具股份有限公司,2011-04-22 00:00:00,,可选消费,0
002576.SZ,通达动力,江苏通达动力科技股份有限公司,2011-04-28 00:00:00,,工业,0
002577.SZ,雷柏科技,深圳雷柏科技股份有限公司,2011-04-28 00:00:00,,信息技术,0
002578.SZ,闽发铝业,福建省闽发铝业股份有限公司,2011-04-28 00:00:00,,材料,0
002579.SZ,中京电子,惠州中京电子科技股份有限公司,2011-05-06 00:00:00,,信息技术,0
002580.SZ,圣阳股份,山东圣阳电源股份有限公司,2011-05-06 00:00:00,,工业,0
002581.SZ,未名医药,山东未名生物医药股份有限公司,2011-05-20 00:00:00,,医疗保健,0
002582.SZ,好想你,好想你健康食品股份有限公司,2011-05-20 00:00:00,,日常消费,0
002583.SZ,海能达,海能达通信股份有限公司,2011-05-27 00:00:00,,信息技术,0
002584.SZ,西陇科学,西陇科学股份有限公司,2011-06-02 00:00:00,,材料,0
002585.SZ,双星新材,江苏双星彩塑新材料股份有限公司,2011-06-02 00:00:00,,材料,0
002586.SZ,*ST围海,浙江省围海建设集团股份有限公司,2011-06-02 00:00:00,,工业,0
002587.SZ,奥拓电子,深圳市奥拓电子股份有限公司,2011-06-10 00:00:00,,信息技术,0
002588.SZ,史丹利,史丹利农业集团股份有限公司,2011-06-10 00:00:00,,材料,0
002589.SZ,瑞康医药,瑞康医药集团股份有限公司,2011-06-10 00:00:00,,医疗保健,0
002590.SZ,万安科技,浙江万安科技股份有限公司,2011-06-10 00:00:00,,可选消费,0
002591.SZ,恒大高新,江西恒大高新技术股份有限公司,2011-06-21 00:00:00,,信息技术,0
002592.SZ,ST八菱,南宁八菱科技股份有限公司,2011-11-11 00:00:00,,可选消费,0
002593.SZ,日上集团,厦门日上集团股份有限公司,2011-06-28 00:00:00,,工业,0
002594.SZ,比亚迪,比亚迪股份有限公司,2011-06-30 00:00:00,,可选消费,0
002595.SZ,豪迈科技,山东豪迈机械科技股份有限公司,2011-06-28 00:00:00,,工业,0
002596.SZ,海南瑞泽,海南瑞泽新型建材股份有限公司,2011-07-07 00:00:00,,材料,0
002597.SZ,金禾实业,安徽金禾实业股份有限公司,2011-07-07 00:00:00,,日常消费,0
002598.SZ,山东章鼓,山东省章丘鼓风机股份有限公司,2011-07-07 00:00:00,,工业,0
002599.SZ,盛通股份,北京盛通印刷股份有限公司,2011-07-15 00:00:00,,工业,0
002600.SZ,领益智造,广东领益智造股份有限公司,2011-07-15 00:00:00,,信息技术,0
002601.SZ,龙佰集团,龙佰集团股份有限公司,2011-07-15 00:00:00,,材料,0
002602.SZ,世纪华通,浙江世纪华通集团股份有限公司,2011-07-28 00:00:00,,信息技术,0
002603.SZ,以岭药业,石家庄以岭药业股份有限公司,2011-07-28 00:00:00,,医疗保健,0
002605.SZ,姚记科技,上海姚记科技股份有限公司,2011-08-05 00:00:00,,信息技术,0
002606.SZ,大连电瓷,大连电瓷集团股份有限公司,2011-08-05 00:00:00,,工业,0
002607.SZ,中公教育,中公教育科技股份有限公司,2011-08-10 00:00:00,,可选消费,0
002608.SZ,江苏国信,江苏国信股份有限公司,2011-08-10 00:00:00,,金融,0
002609.SZ,捷顺科技,深圳市捷顺科技实业股份有限公司,2011-08-15 00:00:00,,信息技术,0
002610.SZ,爱康科技,江苏爱康科技股份有限公司,2011-08-15 00:00:00,,信息技术,0
002611.SZ,东方精工,广东东方精工科技股份有限公司,2011-08-30 00:00:00,,工业,0
002612.SZ,朗姿股份,朗姿股份有限公司,2011-08-30 00:00:00,,可选消费,0
002613.SZ,北玻股份,洛阳北方玻璃技术股份有限公司,2011-08-30 00:00:00,,工业,0
002614.SZ,奥佳华,奥佳华智能健康科技集团股份有限公司,2011-09-09 00:00:00,,医疗保健,0
002615.SZ,哈尔斯,浙江哈尔斯真空器皿股份有限公司,2011-09-09 00:00:00,,可选消费,0
002616.SZ,长青集团,广东长青(集团)股份有限公司,2011-09-20 00:00:00,,公用事业,0
002617.SZ,露笑科技,露笑科技股份有限公司,2011-09-20 00:00:00,,工业,0
002620.SZ,瑞和股份,深圳瑞和建筑装饰股份有限公司,2011-09-29 00:00:00,,工业,0
002621.SZ,美吉姆,大连美吉姆教育科技股份有限公司,2011-09-29 00:00:00,,可选消费,0
002622.SZ,融钰集团,融钰集团股份有限公司,2011-10-18 00:00:00,,工业,0
002623.SZ,亚玛顿,常州亚玛顿股份有限公司,2011-10-13 00:00:00,,工业,0
002624.SZ,完美世界,完美世界股份有限公司,2011-10-28 00:00:00,,信息技术,0
002625.SZ,光启技术,光启技术股份有限公司,2011-11-03 00:00:00,,工业,0
002626.SZ,金达威,厦门金达威集团股份有限公司,2011-10-28 00:00:00,,医疗保健,0
002627.SZ,三峡旅游,湖北三峡旅游集团股份有限公司,2011-11-03 00:00:00,,工业,0
002628.SZ,成都路桥,成都市路桥工程股份有限公司,2011-11-03 00:00:00,,工业,0
002629.SZ,仁智股份,浙江仁智股份有限公司,2011-11-03 00:00:00,,能源,0
002630.SZ,华西能源,华西能源工业股份有限公司,2011-11-11 00:00:00,,工业,0
002631.SZ,德尔未来,德尔未来科技控股集团股份有限公司,2011-11-11 00:00:00,,材料,0
002632.SZ,道明光学,道明光学股份有限公司,2011-11-22 00:00:00,,材料,0
002633.SZ,申科股份,申科滑动轴承股份有限公司,2011-11-22 00:00:00,,工业,0
002634.SZ,棒杰股份,浙江棒杰控股集团股份有限公司,2011-12-05 00:00:00,,可选消费,0
002635.SZ,安洁科技,苏州安洁科技股份有限公司,2011-11-25 00:00:00,,信息技术,0
002636.SZ,金安国纪,金安国纪科技股份有限公司,2011-11-25 00:00:00,,信息技术,0
002637.SZ,赞宇科技,赞宇科技集团股份有限公司,2011-11-25 00:00:00,,材料,0
002638.SZ,勤上股份,东莞勤上光电股份有限公司,2011-11-25 00:00:00,,工业,0
002639.SZ,雪人股份,福建雪人股份有限公司,2011-12-05 00:00:00,,工业,0
002640.SZ,*ST跨境,跨境通宝电子商务股份有限公司,2011-12-08 00:00:00,,可选消费,0
002641.SZ,公元股份,公元股份有限公司,2011-12-08 00:00:00,,工业,0
002642.SZ,荣联科技,荣联科技集团股份有限公司,2011-12-20 00:00:00,,信息技术,0
002643.SZ,万润股份,中节能万润股份有限公司,2011-12-20 00:00:00,,材料,0
002644.SZ,佛慈制药,兰州佛慈制药股份有限公司,2011-12-22 00:00:00,,医疗保健,0
002645.SZ,华宏科技,江苏华宏科技股份有限公司,2011-12-20 00:00:00,,工业,0
002646.SZ,天佑德酒,青海互助天佑德青稞酒股份有限公司,2011-12-22 00:00:00,,日常消费,0
002647.SZ,仁东控股,仁东控股股份有限公司,2011-12-28 00:00:00,,信息技术,0
002648.SZ,卫星化学,卫星化学股份有限公司,2011-12-28 00:00:00,,材料,0
002649.SZ,博彦科技,博彦科技股份有限公司,2012-01-06 00:00:00,,信息技术,0
002650.SZ,加加食品,加加食品集团股份有限公司,2012-01-06 00:00:00,,日常消费,0
002651.SZ,利君股份,成都利君实业股份有限公司,2012-01-06 00:00:00,,工业,0
002652.SZ,扬子新材,苏州扬子江新型材料股份有限公司,2012-01-19 00:00:00,,工业,0
002653.SZ,海思科,海思科医药集团股份有限公司,2012-01-17 00:00:00,,医疗保健,0
002654.SZ,万润科技,深圳万润科技股份有限公司,2012-02-17 00:00:00,,信息技术,0
002655.SZ,共达电声,共达电声股份有限公司,2012-02-17 00:00:00,,信息技术,0
002656.SZ,ST摩登,摩登大道时尚集团股份有限公司,2012-02-28 00:00:00,,可选消费,0
002657.SZ,中科金财,北京中科金财科技股份有限公司,2012-02-28 00:00:00,,信息技术,0
002658.SZ,雪迪龙,北京雪迪龙科技股份有限公司,2012-03-09 00:00:00,,信息技术,0
002659.SZ,凯文教育,北京凯文德信教育科技股份有限公司,2012-03-09 00:00:00,,可选消费,0
002660.SZ,茂硕电源,茂硕电源科技股份有限公司,2012-03-16 00:00:00,,工业,0
002661.SZ,克明食品,陈克明食品股份有限公司,2012-03-16 00:00:00,,日常消费,0
002662.SZ,京威股份,北京威卡威汽车零部件股份有限公司,2012-03-09 00:00:00,,可选消费,0
002663.SZ,普邦股份,广州普邦园林股份有限公司,2012-03-16 00:00:00,,工业,0
002664.SZ,长鹰信质,长鹰信质科技股份有限公司,2012-03-16 00:00:00,,可选消费,0
002665.SZ,首航高科,首航高科能源技术股份有限公司,2012-03-27 00:00:00,,工业,0
002666.SZ,德联集团,广东德联集团股份有限公司,2012-03-27 00:00:00,,材料,0
002667.SZ,鞍重股份,鞍山重型矿山机器股份有限公司,2012-03-29 00:00:00,,工业,0
002668.SZ,ST奥马,广东奥马电器股份有限公司,2012-04-16 00:00:00,,可选消费,0
002669.SZ,康达新材,康达新材料(集团)股份有限公司,2012-04-16 00:00:00,,材料,0
002670.SZ,国盛金控,国盛金融控股集团股份有限公司,2012-04-16 00:00:00,,金融,0
002671.SZ,龙泉股份,山东龙泉管道工程股份有限公司,2012-04-26 00:00:00,,工业,0
002672.SZ,东江环保,东江环保股份有限公司,2012-04-26 00:00:00,,工业,0
002673.SZ,西部证券,西部证券股份有限公司,2012-05-03 00:00:00,,金融,0
002674.SZ,兴业科技,兴业皮革科技股份有限公司,2012-05-07 00:00:00,,可选消费,0
002675.SZ,东诚药业,烟台东诚药业集团股份有限公司,2012-05-25 00:00:00,,医疗保健,0
002676.SZ,顺威股份,广东顺威精密塑料股份有限公司,2012-05-25 00:00:00,,可选消费,0
002677.SZ,浙江美大,浙江美大实业股份有限公司,2012-05-25 00:00:00,,可选消费,0
002678.SZ,珠江钢琴,广州珠江钢琴集团股份有限公司,2012-05-30 00:00:00,,可选消费,0
002679.SZ,福建金森,福建金森林业股份有限公司,2012-06-05 00:00:00,,材料,0
002681.SZ,奋达科技,深圳市奋达科技股份有限公司,2012-06-05 00:00:00,,可选消费,0
002682.SZ,龙洲股份,龙洲集团股份有限公司,2012-06-12 00:00:00,,工业,0
002683.SZ,广东宏大,广东宏大控股集团股份有限公司,2012-06-12 00:00:00,,材料,0
002685.SZ,华东重机,无锡华东重型机械股份有限公司,2012-06-12 00:00:00,,工业,0
002686.SZ,亿利达,浙江亿利达风机股份有限公司,2012-07-03 00:00:00,,工业,0
002687.SZ,乔治白,浙江乔治白服饰股份有限公司,2012-07-13 00:00:00,,可选消费,0
002688.SZ,金河生物,金河生物科技股份有限公司,2012-07-13 00:00:00,,医疗保健,0
002689.SZ,远大智能,沈阳远大智能工业集团股份有限公司,2012-07-17 00:00:00,,工业,0
002690.SZ,美亚光电,合肥美亚光电技术股份有限公司,2012-07-31 00:00:00,,工业,0
002691.SZ,冀凯股份,冀凯装备制造股份有限公司,2012-07-31 00:00:00,,工业,0
002692.SZ,ST远程,远程电缆股份有限公司,2012-08-08 00:00:00,,工业,0
002693.SZ,双成药业,海南双成药业股份有限公司,2012-08-08 00:00:00,,医疗保健,0
002694.SZ,顾地科技,顾地科技股份有限公司,2012-08-16 00:00:00,,工业,0
002695.SZ,煌上煌,江西煌上煌集团食品股份有限公司,2012-09-05 00:00:00,,日常消费,0
002696.SZ,百洋股份,百洋产业投资集团股份有限公司,2012-09-05 00:00:00,,日常消费,0
002697.SZ,红旗连锁,成都红旗连锁股份有限公司,2012-09-05 00:00:00,,日常消费,0
002698.SZ,博实股份,哈尔滨博实自动化股份有限公司,2012-09-11 00:00:00,,工业,0
002699.SZ,ST美盛,美盛文化创意股份有限公司,2012-09-11 00:00:00,,可选消费,0
002700.SZ,ST浩源,新疆浩源天然气股份有限公司,2012-09-21 00:00:00,,公用事业,0
002701.SZ,奥瑞金,奥瑞金科技股份有限公司,2012-10-11 00:00:00,,材料,0
002702.SZ,海欣食品,海欣食品股份有限公司,2012-10-11 00:00:00,,日常消费,0
002703.SZ,浙江世宝,浙江世宝股份有限公司,2012-11-02 00:00:00,,可选消费,0
002705.SZ,新宝股份,广东新宝电器股份有限公司,2014-01-21 00:00:00,,可选消费,0
002706.SZ,良信股份,上海良信电器股份有限公司,2014-01-21 00:00:00,,工业,0
002707.SZ,众信旅游,众信旅游集团股份有限公司,2014-01-23 00:00:00,,可选消费,0
002708.SZ,光洋股份,常州光洋轴承股份有限公司,2014-01-21 00:00:00,,可选消费,0
002709.SZ,天赐材料,广州天赐高新材料股份有限公司,2014-01-23 00:00:00,,材料,0
002712.SZ,思美传媒,思美传媒股份有限公司,2014-01-23 00:00:00,,可选消费,0
002713.SZ,东易日盛,东易日盛家居装饰集团股份有限公司,2014-02-19 00:00:00,,工业,0
002714.SZ,牧原股份,牧原食品股份有限公司,2014-01-28 00:00:00,,日常消费,0
002715.SZ,登云股份,怀集登云汽配股份有限公司,2014-02-19 00:00:00,,可选消费,0
002716.SZ,金贵银业,郴州市金贵银业股份有限公司,2014-01-28 00:00:00,,材料,0
002717.SZ,岭南股份,岭南生态文旅股份有限公司,2014-02-19 00:00:00,,工业,0
002718.SZ,友邦吊顶,浙江友邦集成吊顶股份有限公司,2014-01-28 00:00:00,,工业,0
002719.SZ,麦趣尔,麦趣尔集团股份有限公司,2014-01-28 00:00:00,,日常消费,0
002721.SZ,金一文化,北京金一文化发展股份有限公司,2014-01-27 00:00:00,,可选消费,0
002722.SZ,物产金轮,物产中大金轮蓝海股份有限公司,2014-01-28 00:00:00,,工业,0
002723.SZ,小崧股份,广东小崧科技股份有限公司,2014-01-29 00:00:00,,可选消费,0
002724.SZ,海洋王,海洋王照明科技股份有限公司,2014-11-04 00:00:00,,工业,0
002725.SZ,跃岭股份,浙江跃岭股份有限公司,2014-01-29 00:00:00,,可选消费,0
002726.SZ,龙大美食,山东龙大美食股份有限公司,2014-06-26 00:00:00,,日常消费,0
002727.SZ,一心堂,一心堂药业集团股份有限公司,2014-07-02 00:00:00,,日常消费,0
002728.SZ,特一药业,特一药业集团股份有限公司,2014-07-31 00:00:00,,医疗保健,0
002729.SZ,好利科技,好利来(中国)电子科技股份有限公司,2014-09-12 00:00:00,,工业,0
002730.SZ,电光科技,电光防爆科技股份有限公司,2014-10-09 00:00:00,,工业,0
002731.SZ,萃华珠宝,沈阳萃华金银珠宝股份有限公司,2014-11-04 00:00:00,,可选消费,0
002732.SZ,燕塘乳业,广东燕塘乳业股份有限公司,2014-12-05 00:00:00,,日常消费,0
002733.SZ,雄韬股份,深圳市雄韬电源科技股份有限公司,2014-12-03 00:00:00,,工业,0
002734.SZ,利民股份,利民控股集团股份有限公司,2015-01-27 00:00:00,,材料,0
002735.SZ,王子新材,深圳王子新材料股份有限公司,2014-12-03 00:00:00,,材料,0
002736.SZ,国信证券,国信证券股份有限公司,2014-12-29 00:00:00,,金融,0
002737.SZ,葵花药业,葵花药业集团股份有限公司,2014-12-30 00:00:00,,医疗保健,0
002738.SZ,中矿资源,中矿资源集团股份有限公司,2014-12-30 00:00:00,,材料,0
