AF_CMP_factor01,AF_CMP_factor02,AF_CMP_factor03,AF_CMP_factor04,AF_CMP_factor05,AF_CMP_factor06,consecutive
000158.SZ,常山北明,石家庄常山北明科技股份有限公司,2000-07-24 00:00:00,,信息技术,0
000159.SZ,国际实业,新疆国际实业股份有限公司,2000-09-26 00:00:00,,能源,0
000166.SZ,申万宏源,申万宏源集团股份有限公司,2015-01-26 00:00:00,,金融,0
000301.SZ,东方盛虹,江苏东方盛虹股份有限公司,2000-05-29 00:00:00,,材料,0
000333.SZ,美的集团,美的集团股份有限公司,2013-09-18 00:00:00,,可选消费,0
000338.SZ,潍柴动力,潍柴动力股份有限公司,2007-04-30 00:00:00,,工业,0
000400.SZ,许继电气,许继电气股份有限公司,1997-04-18 00:00:00,,工业,0
000401.SZ,冀东水泥,唐山冀东水泥股份有限公司,1996-06-14 00:00:00,,材料,0
000402.SZ,金融街,金融街控股股份有限公司,1996-06-26 00:00:00,,房地产,0
000403.SZ,派林生物,派斯双林生物制药股份有限公司,1996-06-28 00:00:00,,医疗保健,0
000404.SZ,长虹华意,长虹华意压缩机股份有限公司,1996-06-19 00:00:00,,工业,0
000407.SZ,胜利股份,山东胜利股份有限公司,1996-07-03 00:00:00,,公用事业,0
000408.SZ,藏格矿业,藏格矿业股份有限公司,1996-06-28 00:00:00,,材料,0
000409.SZ,云鼎科技,云鼎科技股份有限公司,1996-06-27 00:00:00,,信息技术,0
000410.SZ,*ST沈机,沈阳机床股份有限公司,1996-07-18 00:00:00,,工业,0
000411.SZ,英特集团,浙江英特集团股份有限公司,1996-07-16 00:00:00,,医疗保健,0
000413.SZ,东旭光电,东旭光电科技股份有限公司,1996-09-25 00:00:00,,信息技术,0
000415.SZ,渤海租赁,渤海租赁股份有限公司,1996-07-16 00:00:00,,金融,0
000416.SZ,民生控股,民生控股股份有限公司,1996-07-19 00:00:00,,金融,0
000417.SZ,合肥百货,合肥百货大楼集团股份有限公司,1996-08-12 00:00:00,,可选消费,0
000419.SZ,通程控股,长沙通程控股股份有限公司,1996-08-16 00:00:00,,可选消费,0
000420.SZ,吉林化纤,吉林化纤股份有限公司,1996-08-02 00:00:00,,材料,0
000421.SZ,南京公用,南京公用发展股份有限公司,1996-08-06 00:00:00,,公用事业,0
000422.SZ,湖北宜化,湖北宜化化工股份有限公司,1996-08-15 00:00:00,,材料,0
000423.SZ,东阿阿胶,东阿阿胶股份有限公司,1996-07-29 00:00:00,,医疗保健,0
000425.SZ,徐工机械,徐工集团工程机械股份有限公司,1996-08-28 00:00:00,,工业,0
000426.SZ,兴业矿业,内蒙古兴业矿业股份有限公司,1996-08-28 00:00:00,,材料,0
000428.SZ,华天酒店,华天酒店集团股份有限公司,1996-08-08 00:00:00,,可选消费,0
000429.SZ,粤高速A,广东省高速公路发展股份有限公司,1998-02-20 00:00:00,,工业,0
000430.SZ,张家界,张家界旅游集团股份有限公司,1996-08-29 00:00:00,,可选消费,0
000488.SZ,晨鸣纸业,山东晨鸣纸业集团股份有限公司,2000-11-20 00:00:00,,材料,0
000498.SZ,山东路桥,山东高速路桥集团股份有限公司,1997-06-09 00:00:00,,工业,0
000501.SZ,武商集团,武商集团股份有限公司,1992-11-20 00:00:00,,可选消费,0
000503.SZ,国新健康,国新健康保障服务集团股份有限公司,1992-11-30 00:00:00,,信息技术,0
000504.SZ,南华生物,南华生物医药股份有限公司,1992-12-08 00:00:00,,医疗保健,0
000505.SZ,京粮控股,海南京粮控股股份有限公司,1992-12-21 00:00:00,,日常消费,0
000506.SZ,中润资源,中润资源投资股份有限公司,1993-03-12 00:00:00,,房地产,0
000507.SZ,珠海港,珠海港股份有限公司,1993-03-26 00:00:00,,工业,0
000509.SZ,华塑控股,华塑控股股份有限公司,1993-05-07 00:00:00,,信息技术,0
000510.SZ,新金路,四川新金路集团股份有限公司,1993-05-07 00:00:00,,材料,0
000513.SZ,丽珠集团,丽珠医药集团股份有限公司,1993-10-28 00:00:00,,医疗保健,0
000514.SZ,渝开发,重庆渝开发股份有限公司,1993-07-12 00:00:00,,房地产,0
000516.SZ,国际医学,西安国际医学投资股份有限公司,1993-08-09 00:00:00,,医疗保健,0
000517.SZ,荣安地产,荣安地产股份有限公司,1993-08-06 00:00:00,,房地产,0
000518.SZ,四环生物,江苏四环生物股份有限公司,1993-09-08 00:00:00,,医疗保健,0
000519.SZ,中兵红箭,中兵红箭股份有限公司,1993-10-08 00:00:00,,工业,0
000520.SZ,长航凤凰,长航凤凰股份有限公司,1993-10-25 00:00:00,,工业,0
000521.SZ,长虹美菱,长虹美菱股份有限公司,1993-10-18 00:00:00,,可选消费,0
000523.SZ,广州浪奇,广州市浪奇实业股份有限公司,1993-11-08 00:00:00,,日常消费,0
000524.SZ,岭南控股,广州岭南集团控股股份有限公司,1993-11-18 00:00:00,,可选消费,0
000525.SZ,ST红太阳,南京红太阳股份有限公司,1993-10-28 00:00:00,,材料,0
000526.SZ,学大教育,学大(厦门)教育科技集团股份有限公司,1993-11-01 00:00:00,,可选消费,0
000528.SZ,柳工,广西柳工机械股份有限公司,1993-11-18 00:00:00,,工业,0
000529.SZ,广弘控股,广东广弘控股股份有限公司,1993-11-18 00:00:00,,日常消费,0
000530.SZ,冰山冷热,冰山冷热科技股份有限公司,1993-12-08 00:00:00,,工业,0
000531.SZ,穗恒运A,广州恒运企业集团股份有限公司,1994-01-06 00:00:00,,公用事业,0
000532.SZ,华金资本,珠海华金资本股份有限公司,1994-01-03 00:00:00,,信息技术,0
000533.SZ,顺钠股份,广东顺钠电气股份有限公司,1994-01-03 00:00:00,,可选消费,0
000534.SZ,万泽股份,万泽实业股份有限公司,1994-01-10 00:00:00,,医疗保健,0
000536.SZ,华映科技,华映科技(集团)股份有限公司,1993-11-26 00:00:00,,信息技术,0
000537.SZ,广宇发展,天津广宇发展股份有限公司,1993-12-10 00:00:00,,公用事业,0
000538.SZ,云南白药,云南白药集团股份有限公司,1993-12-15 00:00:00,,医疗保健,0
000539.SZ,粤电力A,广东电力发展股份有限公司,1993-11-26 00:00:00,,公用事业,0
000540.SZ,中天金融,中天金融集团股份有限公司,1994-02-02 00:00:00,,房地产,0
000541.SZ,佛山照明,佛山电器照明股份有限公司,1993-11-23 00:00:00,,可选消费,0
000543.SZ,皖能电力,安徽省皖能股份有限公司,1993-12-20 00:00:00,,公用事业,0
000544.SZ,中原环保,中原环保股份有限公司,1993-12-08 00:00:00,,公用事业,0
000545.SZ,金浦钛业,金浦钛业股份有限公司,1993-12-15 00:00:00,,材料,0
000546.SZ,金圆股份,金圆环保股份有限公司,1993-12-15 00:00:00,,材料,0
000547.SZ,航天发展,航天工业发展股份有限公司,1993-11-30 00:00:00,,工业,0
000548.SZ,湖南投资,湖南投资集团股份有限公司,1993-12-20 00:00:00,,工业,0
000550.SZ,江铃汽车,江铃汽车股份有限公司,1993-12-01 00:00:00,,可选消费,0
000551.SZ,创元科技,创元科技股份有限公司,1994-01-06 00:00:00,,工业,0
000552.SZ,靖远煤电,甘肃靖远煤电股份有限公司,1994-01-06 00:00:00,,能源,0
000553.SZ,安道麦A,安道麦股份有限公司,1993-12-03 00:00:00,,材料,0
000554.SZ,泰山石油,中国石化山东泰山石油股份有限公司,1993-12-15 00:00:00,,能源,0
000555.SZ,神州信息,神州数码信息服务股份有限公司,1994-04-08 00:00:00,,信息技术,0
000557.SZ,西部创业,宁夏西部创业实业股份有限公司,1994-06-17 00:00:00,,工业,0
000558.SZ,莱茵体育,莱茵达体育发展股份有限公司,1994-05-09 00:00:00,,可选消费,0
000559.SZ,万向钱潮,万向钱潮股份公司,1994-01-10 00:00:00,,可选消费,0
000560.SZ,我爱我家,我爱我家控股集团股份有限公司,1994-02-02 00:00:00,,房地产,0
000561.SZ,烽火电子,陕西烽火电子股份有限公司,1994-05-09 00:00:00,,信息技术,0
000563.SZ,陕国投A,陕西省国际信托股份有限公司,1994-01-10 00:00:00,,金融,0
000564.SZ,ST大集,供销大集集团股份有限公司,1994-01-10 00:00:00,,可选消费,0
000565.SZ,渝三峡A,重庆三峡油漆股份有限公司,1994-04-08 00:00:00,,材料,0
000566.SZ,海南海药,海南海药股份有限公司,1994-05-25 00:00:00,,医疗保健,0
000567.SZ,海德股份,海南海德资本管理股份有限公司,1994-05-25 00:00:00,,金融,0
000568.SZ,泸州老窖,泸州老窖股份有限公司,1994-05-09 00:00:00,,日常消费,0
000570.SZ,苏常柴A,常柴股份有限公司,1994-07-01 00:00:00,,工业,0
000571.SZ,ST大洲,新大洲控股股份有限公司,1994-05-25 00:00:00,,能源,0
000572.SZ,海马汽车,海马汽车股份有限公司,1994-08-08 00:00:00,,可选消费,0
000573.SZ,粤宏远A,东莞宏远工业区股份有限公司,1994-08-15 00:00:00,,房地产,0
000576.SZ,甘化科工,广东甘化科工股份有限公司,1994-09-07 00:00:00,,日常消费,0
000581.SZ,威孚高科,无锡威孚高科技集团股份有限公司,1998-09-24 00:00:00,,可选消费,0
000582.SZ,北部湾港,北部湾港股份有限公司,1995-11-02 00:00:00,,工业,0
000584.SZ,哈工智能,江苏哈工智能机器人股份有限公司,1995-11-28 00:00:00,,工业,0
000586.SZ,汇源通信,四川汇源光通信股份有限公司,1995-12-20 00:00:00,,信息技术,0
