AF_LR_MTBI_id,AF_LR_MTBI_name,AF_LR_MTBI_start_time,AF_LR_MTBI_org,AF_LR_MTBI_reason,consecutive
002070.SZ,众和退(退市),2020,中国证券监督管理委员会,涉嫌信息披露违法违规.,0
002071.SZ,长城退(退市),2020,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002072.SZ,*ST凯瑞,2008,中国证券监督管理委员会济南稽查局,涉嫌信息披露违反证券法律法规,0
002075.SZ,沙钢股份,2008,中国证券监督管理委员会江苏证监局,涉嫌违反证券法律法规,0
002089.SZ,ST新海,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002098.SZ,浔兴股份,2018,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002113.SZ,ST天润,2011,中国证券监督管理委员会湖南省证监局,涉嫌违反证券法律法规,0
002113.SZ,ST天润,2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002119.SZ,康强电子,2009,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002147.SZ,新光退(退市),2019,中国证券监督管理委员会,未按规定披露对外担保及大股东占用资金等事项,0
002176.SZ,江特电机,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002211.SZ,ST宏达,2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002240.SZ,盛新锂能,2013,中国证券监督管理委员会,涉嫌内幕交易,0
002260.SZ,德奥退(退市),2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002356.SZ,赫美集团,2019,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002356.SZ,赫美集团,2020,中国证券监督管理委员会,涉嫌信息披露违法违规,1
002358.SZ,ST森源,2022,中国证券监督管理委员会,集团公司涉嫌操纵证券市场,0
002359.SZ,北讯退(退市),2020,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002359.SZ,北讯退(退市),2021,中国证券监督管理委员会,涉嫌未在法定期限内披露定期报告,1
002365.SZ,永安药业,2012,中国证券监督管理委员会武汉稽查局,涉嫌违反《中华人民共和国证券法》及相关法规,0
002383.SZ,合众思壮,2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002408.SZ,齐翔腾达,2021,中国证券监督管理委员会,涉嫌证券市场内幕交易,0
002411.SZ,*ST必康,2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002445.SZ,中南文化,2020,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002450.SZ,康得退(退市),2018,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002454.SZ,松芝股份,2016,中国证券监督管理委员会,涉嫌违反证券法律法规,0
002460.SZ,赣锋锂业,2022,中国证券监督管理委员会,涉嫌 A 股某上市公司股票二级市场内幕交易,0
002464.SZ,众应退(退市),2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002471.SZ,中超控股,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002477.SZ,雏鹰退(退市),2019,中国证券监督管理委员会,涉嫌违法违规,0
002499.SZ,*ST科林,2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002501.SZ,利源精制,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002535.SZ,ST林重,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002569.SZ,ST步森,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002604.SZ,龙力退(退市),2018,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002607.SZ,中公教育,2021,中国证券监督管理委员会,涉嫌未按规定披露关联交易信息披露违法违规,0
002618.SZ,丹邦退(退市),2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002647.SZ,仁东控股,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002668.SZ,ST奥马,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002672.SZ,东江环保,2018,深圳市罗湖区监察委员会,涉嫌单位行贿问题,0
002680.SZ,长生退(退市),2019,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002699.SZ,ST美盛,2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002719.SZ,麦趣尔,2022,昌吉市市场监督管理局,因本公司纯牛奶检测不合格,0
002742.SZ,三圣股份,2019,中国证券监督管理委员会,涉嫌信息披露违法违规,0
002781.SZ,*ST奇信,2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
300038.SZ,*ST数知,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
300038.SZ,数知退(退市),2021,中国证券监督管理委员会,涉嫌证券市场内幕交易,0
300077.SZ,国民技术,2017,中国证券监督管理委员会,涉嫌信息披露违法违规,0
300090.SZ,盛运退(退市),2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
300104.SZ,乐视退(退市),2019,中国证券监督管理委员会,涉嫌信息披露违法违规,0
300108.SZ,*ST吉药,2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
300156.SZ,神雾退(退市),2019,中国证券监督管理委员会,涉嫌信息披露违法违规,0
300156.SZ,神雾退(退市),2020,中国证券监督管理委员会,涉嫌信息披露违法违规,1
300159.SZ,ST新研,2015,中国证券监督管理委员会,涉嫌违法被稽查立案,0
300159.SZ,新研股份,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
300178.SZ,*ST腾邦,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
300198.SZ,纳川股份,2013,中国证券监督管理委员会福建监管局,涉嫌信息披露违规,0
300202.SZ,聚龙退(退市),2021,中国证券监督管理委员会,聚龙股份、柳长庆、柳永诠涉嫌信息披露违法违规。,0
300216.SZ,千山退(退市),2020,中国证券监督管理委员会,涉嫌信息披露违法违规,0
300256.SZ,*ST星星,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
300262.SZ,巴安水务,2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
300268.SZ,佳沃食品,2012,中国证券监督管理委员会湖南监管局,涉嫌违反有关证券法律法规,0
300271.SZ,华宇软件,2021,北京市监察委员会,涉嫌单位行贿,0
300297.SZ,蓝盾股份,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
300312.SZ,邦讯退(退市),2022,中国证券监督管理委员会,未在规定期限内披露2021年年报,0
300330.SZ,华虹计通,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
300356.SZ,ST光一,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
300362.SZ,天翔退(退市),2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
300367.SZ,网力退(退市),2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
300372.SZ,欣泰退(退市),2015,中国证券监督管理委员会,涉嫌违反证券法律法规,0
300431.SZ,暴风退(退市),2019,中国证券监督管理委员会,涉嫌信息披露违法违规,0
300431.SZ,暴风退(退市),2020,中国证券监督管理委员会,未按期披露定期报告，涉嫌信息披露违法违规,1
300461.SZ,田中精机,2021,中国证券监督管理委员会,单位涉嫌内幕交易,0
300478.SZ,杭州高新,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
300495.SZ,*ST美尚,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
300504.SZ,天邑股份,2020,中国证券监督管理委员会,涉嫌操纵证券市场,0
600003.SH,ST东北高(退市),2005,中国证券监督管理委员会,涉嫌违反证券、期货法律法规,0
600057.SH,厦门象屿,2008,中国证券监督管理委员会厦门监管局,涉嫌违反证券法规,0
600058.SH,五矿发展,2021,国家市场监督管理总局,涉嫌构成违法实施经营者集中。,0
600069.SH,退市银鸽(退市),2020,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600078.SH,*ST澄星,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600086.SH,退市金钰(退市),2020,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600090.SH,退市济堂(退市),2022,中国证券监督管理委员会,2021年年度报告未及时披露涉嫌信息披露违法违规,0
600092.SH,S*ST精密(退市),2005,中国证券监督管理委员会西安稽查局,涉嫌虚假陈述,0
600092.SH,S*ST精密(退市),2006,中国证券监督管理委员会,涉嫌未按期披露2005年年度报告,1
600093.SH,*ST易见,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600094.SH,大名城,2006,中国证券监督管理委员会,涉嫌违反证券法规,0
600095.SH,湘财股份,2016,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600101.SH,明星电力,2005,中国证券监督管理委员会四川监管局,涉嫌违反证券法律法规,0
600116.SH,三峡水利,2000,中国证券监督管理委员会,涉嫌违反了国家有关规定,0
600122.SH,ST宏图,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
