AF_ST_factor01,AF_ST_factor02,AF_ST_factor03,consecutive
002766.SZ,索菱股份,2021,0
002770.SZ,*ST科迪,2020,0
002770.SZ,科迪退(退市),2021,1
002776.SZ,ST柏龙,2021,0
002776.SZ,ST柏龙,2021,0
002872.SZ,ST天圣,2019,0
300023.SZ,宝德退(退市),2021,0
300028.SZ,金亚退(退市),2018,0
300029.SZ,*ST天龙,2020,0
300029.SZ,ST天龙,2021,1
300038.SZ,数知退(退市),2021,0
300044.SZ,赛为智能,2021,0
300051.SZ,三五互联,2021,0
300064.SZ,*ST金刚,2020,0
300071.SZ,福石控股,2021,0
300089.SZ,*ST文化,2021,0
300090.SZ,盛运退(退市),2020,0
300156.SZ,神雾退(退市),2020,0
300178.SZ,腾邦退(退市),2021,0
300178.SZ,腾邦退(退市),2021,0
300202.SZ,聚龙退(退市),2021,0
300256.SZ,*ST星星,2021,0
300269.SZ,ST联建,2021,0
300278.SZ,华昌达,2021,0
300312.SZ,邦讯退(退市),2021,0
300313.SZ,ST天山,2021,0
300325.SZ,德威退(退市),2021,0
300356.SZ,*ST光一,2021,0
300367.SZ,ST网力,2020,0
300370.SZ,*ST安控,2021,0
300446.SZ,*ST乐材,2020,0
300495.SZ,*ST美尚,2021,0
300530.SZ,达志科技,2021,0
300795.SZ,米奥会展,2021,0
300859.SZ,西域旅游,2021,0
600069.SH,退市银鸽(退市),2020,0
600069.SH,退市银鸽(退市),2020,0
600078.SH,ST澄星,2021,0
600080.SH,金花股份,2020,0
600083.SH,*ST博信,2020,0
600084.SH,*ST中葡,2019,0
600084.SH,中葡股份,2021,0
600086.SH,退市金钰(退市),2020,0
600090.SH,*ST济堂,2020,0
600093.SH,退市易见(退市),2021,0
600112.SH,*ST天成,2019,0
600119.SH,长江投资,2019,0
600122.SH,ST宏图,2020,0
600139.SH,*ST西源,2021,0
600146.SH,*ST环球,2020,0
600150.SH,中国船舶,2018,0
600157.SH,永泰能源,2020,0
600175.SH,退市美都(退市),2020,0
600175.SH,退市美都(退市),2020,0
600179.SH,安通控股,2019,0
600182.SH,S*ST佳通,2021,0
600186.SH,莲花健康,2019,0
600191.SH,华资实业,2021,0
